,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,media
ANDALUCÍA,21.900836507110142,1.74740716812049,3.49481433624098,2.096888601744588,2.096888601744588,4.892740070737372,4.193777203489176,7.4556039173140904,7.921579162146221,9.319504896642613,6.512004046529026
ARAGÓN,26.839853305290656,2.9822059228100732,3.7277574035125913,2.2366544421075547,2.2366544421075547,1.4911029614050366,2.2366544421075547,9.692169249132737,6.709963326322664,11.183272210537774,6.933628770533422
ASTURIAS (PRINCIPADO DE),14.909647535932251,0.9939765023954833,0.9939765023954833,1.9879530047909666,1.9879530047909666,5.9638590143729,0.9939765023954833,9.939765023954834,8.94578852155935,9.939765023954834,5.665666063654255
BALEARS (ILLES),33.88693005902938,3.306041956978476,3.306041956978476,0.826510489244619,0.826510489244619,0.826510489244619,4.1325524462230945,8.265104892446189,1.653020978489238,7.438594403201571,6.446781816108029
CANARIAS,7.229952246165413,2.7112320923120303,0.9037440307706767,7.681824261550752,7.681824261550752,6.326208215394737,6.326208215394737,6.778080230780076,8.13369627693609,15.815520538486844,6.95882903693421
CANTABRIA,0.0,3.3991233660838867,5.09868504912583,0.0,0.0,1.6995616830419433,1.6995616830419433,6.798246732167773,10.19737009825166,3.3991233660838867,3.2291671977796925
CASTILLA Y LEÓN,7.970791663223146,2.097576753479775,1.6780614027838199,2.936607454871685,2.936607454871685,6.7122456111352795,3.3561228055676398,7.55127631252719,6.292730260439325,11.74642981948674,5.327844953838629
CASTILLA - LA MANCHA,7.19739972342792,2.8789598893711683,1.9193065929141118,2.8789598893711683,2.8789598893711683,2.39913324114264,3.358786537599696,3.358786537599696,9.59653296457056,5.757919778742337,4.222474504411046
CATALUÑA,5.441685819080651,6.32754165009378,7.593049980112537,12.528532467185686,12.528532467185686,12.781634133189437,8.732007477129416,12.781634133189437,11.136473304165055,14.047142463208193,10.389823389453987
COMUNITAT VALENCIANA,5.367897480826541,3.2590806133589716,3.2590806133589716,4.984476232196074,4.984476232196074,3.450791237674205,4.025923110619906,10.160663088707382,10.544084337337848,13.419743702066352,6.345621664834233
EXTREMADURA,2.845473704977492,0.0,2.845473704977492,4.742456174962487,4.742456174962487,4.742456174962487,9.484912349924974,4.742456174962487,4.742456174962487,2.845473704977492,4.173361433966988
GALICIA,15.929324181751365,1.4817975983024527,3.7044939957561316,2.2226963974536793,2.2226963974536793,4.445392794907359,1.8522469978780658,8.520336190239103,4.074943395331745,8.890785589814717,5.334471353888829
MADRID (COMUNIDAD DE),3.783522555542475,2.7648818675118085,6.111844128183998,5.675283833313712,5.675283833313712,6.111844128183998,6.111844128183998,10.91400737175714,7.421525012794855,10.331926978596758,6.490196383738246
MURCIA (REGIÓN DE),7.089035710695164,2.577831167525514,1.288915583762757,3.2222889594068924,3.2222889594068924,1.9333733756441356,2.577831167525514,4.51120454316965,6.444577918813785,7.089035710695164,3.995638309664546
NAVARRA (COMUNIDAD FORAL DE),13.38976872893901,7.438760404966116,14.877520809932232,7.438760404966116,7.438760404966116,0.0,5.951008323972893,5.951008323972893,11.902016647945786,8.926512485959341,8.33141165356205
PAÍS VASCO,6.316828663241742,12.182455279109075,13.536061421232304,13.536061421232304,13.536061421232304,5.4144245684929215,20.304092131848456,29.328133079336663,39.705780168948095,16.694475752853176,17.055437390752704
RIOJA (LA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.205745278979279,0.6205745278979279
CIUDAD AUTÓNOMA DE CEUTA,24.08129846361316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.04064923180658,3.6121947695419734
CIUDAD AUTÓNOMA DE MELILLA,23.39372814148527,0.0,35.090592212227904,11.696864070742635,11.696864070742635,11.696864070742635,81.87804849519844,23.39372814148527,11.696864070742635,23.39372814148527,23.39372814148527
